-0.156637;-33.8174;-0.132206;-7.57483
-0.170359;-57.1775;-0.122285;-7.00641
-0.179082;-74.0949;-0.112388;-6.43936
-0.185817;-86.6394;-0.103977;-5.95742
-0.191504;-96.1006;-0.0969698;-5.55596
-0.19629;-103.226;-0.0909152;-5.20906
-0.200826;-108.71;-0.085906;-4.92205
-0.656649;-33.5847;0.0002024;0.0115967
-1.54101;153.677;0.00784105;0.449259
-1.10117;362.45;0.00888269;0.50894
-1.23376;590.076;0.0130492;0.747665
-93.1318;584.171;0.0778672;4.46146
-389.253;852.507;0.423503;24.2649
-216.006;1005.2;0.0221267;1.26777
-51.0684;1011.53;0.0200435;1.14841
220.959;880.383;-0.536005;-30.7108
193.405;903.998;-0.523713;-30.0065
184.129;908.839;-0.526426;-30.162
177.72;910.822;-0.529725;-30.351
172.109;912.394;-0.533038;-30.5408
174.08;910.102;-0.527398;-30.2177
170.868;909.275;-0.525617;-30.1156
168.33;907.969;-0.524275;-30.0387
166.474;905.874;-0.523524;-29.9957
164.671;903.745;-0.523039;-29.9679
162.613;902.229;-0.522542;-29.9395
161.102;899.985;-0.522288;-29.9249
159.273;898.26;-0.522131;-29.9159
157.659;896.369;-0.522023;-29.9097
156.068;894.472;-0.522035;-29.9104
109.728;941.058;-0.351554;-20.1426
17.4119;1104.85;-0.122728;-7.0318
-34.9403;1108.47;-0.0995581;-5.70426
-1.79414;1108.48;-0.115547;-6.62034
-22.0911;1106.96;-0.10649;-6.10142
-17.4105;1104.75;-0.106739;-6.11571
-18.9974;1102.23;-0.104821;-6.00579
-18.7331;1099.64;-0.103434;-5.92631
-19.0304;1096.78;-0.101922;-5.83968
-18.9117;1093.88;-0.100551;-5.76114
-18.841;1090.8;-0.0993217;-5.69071
-18.6493;1087.68;-0.0982684;-5.63036
-18.8052;1084.63;-0.0971241;-5.5648
-18.7425;1081.62;-0.096015;-5.50126
-3.32485;1031.63;0.231058;13.2387
-7.87796;1017.01;1.0102;57.8802
-15.0134;1012.55;1.52442;87.3429
171.419;917.532;1.73974;99.6798
170.395;921.807;1.71109;98.0381
170.446;915.867;1.68109;96.3194
170.436;915.014;1.66371;95.3237
170.313;914.225;1.66947;95.6539
170.163;915.235;1.66224;95.2394
170.161;917.953;1.65388;94.7604
170.146;916.313;1.64863;94.4595
170.11;915.655;1.64497;94.2501
170.088;914.68;1.64143;94.0471
170.071;913.779;1.63847;93.8774
170.057;912.871;1.63579;93.7239
170.024;913.724;1.63463;93.6576
170.01;913.316;1.63289;93.5575
169.997;912.894;1.63129;93.4657
170;911.447;1.62927;93.3504
169.989;911.255;1.62806;93.2809
169.983;909.713;1.62616;93.1723
169.979;910.864;1.62686;93.2124
169.972;910.021;1.62559;93.1396
169.964;909.949;1.62478;93.0931
169.961;908.924;1.62414;93.0565
169.952;908.55;1.62323;93.0044
169.963;910.213;1.62371;93.032
169.957;911.48;1.62388;93.0412
169.947;912.023;1.62379;93.0366
169.935;912.355;1.6235;93.0196
169.932;912.127;1.62287;92.9834
169.939;911.38;1.62199;92.933
169.931;911.735;1.62181;92.9231
169.92;912.25;1.6217;92.9167
169.92;911.963;1.62117;92.8862
169.911;912.217;1.62099;92.8759
169.9;912.543;1.62084;92.8674
169.889;912.854;1.62079;92.8643
169.9;912.332;1.62018;92.8293
169.898;912.238;1.61982;92.8087
104.118;958.247;1.86252;106.714
0.243476;992.279;2.73749;156.847
-3.64995;982.659;-2.70857;-155.189
1.84012;987.468;-1.96553;-112.617
-206.29;1099.9;-1.16064;-66.5
-114.04;1016.01;-1.0859;-62.2174
-177.845;1084.94;-1.21552;-69.6442
-196.728;1098.15;-1.20992;-69.3235
-202.953;1096.92;-1.19805;-68.6434
-202.367;1094.68;-1.21853;-69.8165
-202.83;1093.13;-1.23437;-70.7242
-203.731;1091.69;-1.24687;-71.4402
-204.863;1090.2;-1.25675;-72.0064
-206.296;1089.07;-1.26598;-72.5353
-207.649;1087.76;-1.27403;-72.9964
-209.095;1086.51;-1.28128;-73.4121
-112.496;1026.13;-0.904559;-51.8274
-2.56468;1008.48;-0.0275026;-1.57578
126.146;1087.01;0.264176;15.1362
28.874;1088.25;0.210719;12.0733
40.9639;1090.02;0.215809;12.3649
44.9963;1091.08;0.217515;12.4627
